text,actual,predicted,probability
"I'm a HUGE fan of the twin sisters. Although this was one of their ""not soo good"" movies. I'm not saying it's bad, I can't say it's bad, but this whole popular and not popular thingy isn't good. Although I give this movie a 4.",1,0,0.16253481087452024
"Finally we get a TV series where we get to see the acting talent! Episode one was excellent! The script gave us a little more than usual, yeah, there was still the ""i'm not your father -i'm your father and omigod you cheated on me!"" rubbish but the script allowed the actors to actually feel and live those real moments rather than show us what it would feel like if -like so many TV soaps do. <br /><br />The camera work also gave us a little more than usual, there were no boring shots of repeated angles for hours yet there was no unnecessary 'shots inside shots or hand-held camera crap' to add an ""artistic"" edge it gave us what we needed to see and also some beautiful scenery pictures as well! <br /><br />Nothing was over-dramatised or melodramatic they were real people in a real place dealing with real situations, the show lacked nothing in drama and was completely relevant. It was SUCH a relief to be exposed to real acting and so nice to let our country see just how talented our actors can be when given a real script, a real opportunity! Thank you Tony Tilse, Sam Miller, channel ten and all cast and crew -wonderful work!! please continue what you are doing, your efforts are much appreciated and do not go unnoticed!",1,0,0.24228946513606106
"I'm gonna tip the scales here a bit and say I enjoyed this. However, the cartoon is really only going to appeal to those who have very absurdist tendencies. It's definitely something that most people will not get, as is the nature of absurdism.<br /><br />the animation is horrible, but yes, that's the point. The main character is foul mouthed, violent, and stupid. no redeeming qualities whatsoever. his wife shrieks and wails, apparently just barely capable of the most basic communication skills. most of these stories completely lack any kind of point.<br /><br />but again, that's the point ;)<br /><br />If non sequiters, foul language, and complete and utter randomness are your thing, you're going to love this.<br /><br />It is really short, so I would probably rent instead of buying.",1,0,0.05969132199580464
"I just can't believe some of the comments on this show! The show is just genius! Sure it doesn't follow the tried and true, but do we as consumers always want the same things thrust at us over and over again. Shouldn't we have the option to sit back and enjoy something new once in a while. The style is not as realistic as previous ""Scooby Doo"" shows, but it's not supposed to be. The show it titled ""Shaggy and Scooby Doo Get a Clue"" what part of that title states that the entire beloved cast of other renditions would constantly join in the action. And nowhere does it say that they'd be solving mysteries, and they can't even stand monsters, so why would they? I'm actually glad that they put some long standing plot points that work into a Scooby-Doo show. They still have running jokes, clumsy hi-jinks, quick-change outfits in chase scenes, the standard hallway gag and even Scooby snacks. In fact I'm glad that this show is out there, because I just love it. I'm even glad they got rid of the rest of the team for a while and concentrated on just two main characters and a villain.<br /><br />Sure it's ridiculous, it's supposed to be! Sure it's different, it's supposed to be. It's supposed to make you laugh at the villain, and cheer for the idiotic robotic butler to triumph over all intruding vermin, no matter what the size. You're supposed to get the running ""Roobi-Roo"" joke. The whole thing is just put together so well, there isn't a single thing I can think that is WRONG with it. The writing, the acting, the animation, all top notch. The title music is awesome (my computer plays ""GET A CLUE!"" when it boots up), and the background music is just gripping.",1,0,0.12925093777078928
"I really wanted to like this film and I don't think I was terribly disappointed. Being an American History teacher, I felt an obligation, almost, to see this film and as far as the history went, it wasn't bad. Sure there were a few mistakes here and there (especially with the timeline--the movie only appeared to last a few months or perhaps a year--not over six years of actual fighting), but the overall spirit of the film and the battle sequences were excellent. Unfortunately, the movie ALSO included a pretty meaningless subplot involving a difficult to believe romance between a poor patriot and a rich Loyalist. For the most part, it really served to distract from the overall plot and just seemed ""tacked on""--like a plot device instead of a real honest-to-goodness romance. In fact, as much of the romance boiled down to the dumb cliché of ""love at fist sight"", it was kind of annoying the more I think about it.<br /><br />However, in spite of this romance, the film is truly interesting and inspiring---plus, in so many ways it seems as if the much later film, THE PATRIOT, was copied from this Griffith film!!! Both films followed the exploits of an evil leader fighting for the British and using horrible and evil tactics against the civilians--and both having the secret intention of using this as a ""springboard"" to starting their OWN nation in the America!!! The only major difference is that this film is set in the North and THE PATRIOT was in the Carolinas. It sure would have been nice if Mel Gibson and the rest had acknowledged their debt to D. W. Griffith for the story ideas. It just doesn't seem all that likely that the two stories were created independently of each other.<br /><br />PS--Despite me liking this film and some other of Griffith's films, he DOES deserve to once again ""burn in hell"" for his having White actors portray all the Black servants in the film! This is a sick and bigoted thing that Griffith did in so many of his films--especially in BIRTH OF A NATION. I gotta assume based on this and the way he portrays Blacks that he was A-OK with slavery and was quite the apologist for this ""quaint institution"" (don't get mad at me--this IS meant as sarcasm).",1,0,0.10798191697128992
"YES, the plot is hardly plausible and very thin. YES, the acting does range from average to laughable. YES, it has been done so many times before. However what we are dealing with is a film that does not shy away from these facts and pretends to be nothing more than it is. There are indeed some original death scenes and the tension does increase throughout the movie. In addition you are never more than a few minutes away from a gory killing. I urge everyone to watch this film with an unprejudiced eye and see it for what it set out to be; a scary, funny slasher flick with a theme tune second to none.",1,0,0.22901482431712494
"I'm gonna tip the scales here a bit and say I enjoyed this. However, the cartoon is really only going to appeal to those who have very absurdist tendencies. It's definitely something that most people will not get, as is the nature of absurdism.<br /><br />the animation is horrible, but yes, that's the point. The main character is foul mouthed, violent, and stupid. no redeeming qualities whatsoever. his wife shrieks and wails, apparently just barely capable of the most basic communication skills. most of these stories completely lack any kind of point.<br /><br />but again, that's the point ;)<br /><br />If non sequiters, foul language, and complete and utter randomness are your thing, you're going to love this.<br /><br />It is really short, so I would probably rent instead of buying.",1,0,0.05969132199580464
"These are excerpts from a nine-page ""Memo to Mr. Cohn from Mr. Welles"", written after Orson had seen studio mogul Harry Cohn's edited version of the picture (he took an hour out): <br /><br />""...The preview title music was written by a first rate composer, George Antheil. Although not written for our picture at all, this temporary title music had an atmosphere of darkness and menace combined with something lush and romantic which made it acceptable...The only musical idea which seems to have occurred to this present composer (Heinz Roemheld) is the rather weary one of using a popular song--the ""theme""--in as many arrangements as possible. Throughout we have musical references to ""Please Don't Kiss Me"" for almost every bridge and also for a great deal of the background material. The tune is pleasing, it may do very well on the Hit Parade--but Lady from Shanghai is not a musical comedy...Mr. Roemheld is an ardent devotee of an old-fashioned type of scoring now referred to in our business as ""Disney"". In other words, if somebody falls down, he makes a ""falling down"" sound in the orchestra, etc., etc...If the lab had scratched initials and phone numbers all over the negative, I couldn't be unhappier about the results...Just before I left to go abroad, I asked Vi (Viola Lawrence, the editor) to make a cut which would involve dropping the near accident with the taxi-cab and also quite a bit of dialogue. I am convinced that this would have been an excellent cut...saving much needed footage in the slow opening sequence (this was not done, accounting for the main weaknesses of the film's opening reel)...There is nothing in the fact of Rita's diving to warrant a big orchestral crescendo...What does matter is Rita's beauty...the evil overtones suggested by Grigsby's character, and Michael's bewilderment. Any or all of these items might have inspired the music. Instead, the dive is treated as though it were a major climax or some antic moment in a Silly Symphony: a pratfall by Pluto the Pup, or a wild jump into space by Donald Duck...There is no sound atmosphere on the boat. A little wind and water is sorely missed. There's no point in photographing a scene on a real boat if you make it sound as though it all happened in front of a process screen...At the start of the picnic sequence...in the temporary score, we used a very curious, sexy Latin-American strain...This has been replaced with a corny ""dramatic"" sequel--bad stock stuff...This sort of music destroys that quality of strangeness which is exactly what might have saved Lady from Shanghai from being just another whodunit...There is a big musical outburst after Grigsby's line, ""I want you to kill him."" This is absurd...The Hawaiian guitar music which comes out of the radio...was supposed to be corny enough to make a certain satirical point. As it stands now, it's on about the same level as the rest of the scoring. Nobody in the audience could possibly suspect that we're kidding...The aquarium scene needs more echo. ""Please Don't Kiss Me"" is in again!...A bad dubbing job and poor scoring has destroyed the character of Michael's run down the pier. From the gunshot through to the phone call, a careful pattern of voices had been built up with the expenditure of much time and effort. For some reason, this has all been junked in favor of a vague hullabaloo. As a result, the whole sequence seems dull...The audience should feel at this point, along with Michael, that maybe they are going crazy. The new dubbing job can only make them feel that maybe they're going to sleep...The gun battle with the breaking mirrors must not be backed with music...The closing music again makes reference to ""Please Don't Kiss Me""...This finale is obvious to the point of vulgarity, and does incalculable injury to the finish of the picture.""<br /><br />All of these edits from Orson were ignored",1,0,0.1641330682551672
"For the longest time, I liked this movie better than the original Care Bears movie. Well last summer, I watched them both together and decided I was wrong. The first one is a better Care Bears movie (as you may have guessed if you read my review for it). This one isn't a BAD movie, it's just... VERY STRANGE.<br /><br />Well first of all, as a few people have mentioned, it completely disavows any knowledge of the first movie. I can't think of another sequel that contradicts the original so blatantly (especially with the genders of some characters and how they all met). When I was little and watching this, I was quite a bit confused and distraught. I felt the same way watching it as an adult!<br /><br />On to the reasons why the movie is actually pretty good (IF you disassociate it from the first movie). I can't think of another movie for little kids with a DEMON as it's villan! Now I am not for a minute suggesting that evil demons who want to steal the souls of campers and Care Bears are good, I just find it cool that there's a SUPREMELY EVIL BEING in a movie for little kids! It's like that bizzare ""Santa Clause vs. Satan"" movie from Mexico you hear about sometimes. <br /><br />Anyhow, the demon's name is Darkheart and he wants this chick to help him get the Care Bears in return for him giving her special powers. Very dark for a kiddy flick eh? And did I mention that Darkheart appears to the girl most often as a WHINEY VOICED 10 YEAR OLD BOY??? Freaky! Meanwhile some other kids are in Care-a-Lot looking after BABY CARE BEARS! Oh, man! Demons and baby Care Bears IN THE SAME MOVIE!!!!!<br /><br />Needless to say, everything gets cleared up in the end (but not before we get to see Darkheart trap the Care Bears' souls in this scary chandelere thing in one [surprisingly] deeply disturbing scene). But I am left with the question of wether this movie has found the cult audience it so richly deserves. I might just watch it again myself.",1,0,0.2893628009854927
"In the aftermath of Watergate, a number of conspiracy movies appeared, such as this one, written by the late Adam Kennedy ( based on his novel ). <br /><br />Gene Hackman plays ex-Vietnam veteran 'Roy Tucker', a loser who has wound up in prison. He receives visits from Marvin Tagge ( Richard Widmark ), who claims to represent an organisation designed to assist the wrongly convicted. They offer him freedom, and despite distrusting Tagge he accepts. But he brings along a fellow cell mate by the name of Spiventa ( Mickey Rooney ). Exactly why is hard to see, as Spiventa is an irritating little man who drives Tucker mad with persistent talk of sex, not what you want to hear when you are behind bars.<br /><br />Tagge's benefactors kill Spiventa before Tucker's astonished eyes. Reunited with wife Ellie ( Candice Bergen ), and given a new identity ( strangely, he does not attempt to change his appearance. Shaving off that cheesy moustache would have been a start ), he settles down, but finds there is a catch - Tagge wants Tucker to do no less than assassinate the President of the United States. He refuses, so Tagge has Ellie abducted...<br /><br />I will leave the synopsis here, but I am sure you can guess the rest for yourself. The script has enough plot holes to make you want to read the book ( neat trick that! ). The people Tagge represents are never revealed. The allusions to J.F.K.'s killing are unmistakable. Despite the findings of The Warren Commission, the doubt as to whether Lee Harvey Oswald acted alone persists to this day.<br /><br />This was Stanley Kramer's first movie in years, and while no turkey, it lacks the grip of say John Frankenheimer's 'The Manchurian Candidate' or Alan J.Pakula's 'The Parallax View'. Being a left-wing conspiracy movie, it tends to skirt around its subject matter instead of getting to grips with it. I prefer right-wing ones myself - they are funnier! 'Domino' has the look and feel of a made-for-T.V. movie, and boasts what must be the easiest prison escape in movie history not to mention an ending copped from the Michael Caine classic 'Get Carter'.<br /><br />What makes it watchable are Gene Hackman and Richard Widmark. The latter, who sadly passed away earlier this year, is superb as the mysterious Tagge, who initially appears to be behind the operation until he too is ruthlessly eliminated, beginning a chain of deaths designed to remove all trace of evidence as one by one the perpetrators of this evil plot fall - just like dominoes. As Tucker, the innocent pawn, Hackman is marvellous. You have to wonder though why he chose to hide out in such an obvious place. In his shoes, I'd have fled to the other side of the world, anywhere to get away from these fanatics. Hackman's love scenes with Bergen slow the plot down, and it is almost a relief when she gets snatched. Presumably the producers thought so too, which explains why it opens with a bizarre prologue setting out the film's entire premise - voiced by British actor Patrick Allen - warning the audience that 'they' are out there, and that 'they' are out to get us. Comedian Les Dawson later spoofed this opening in his B.B.C. show 'The Dawson Watch'.<br /><br />Mickey Rooney had earlier worked with Kramer on 'Its A Mad, Mad, Mad, Mad, Mad World'. His 'death' scene here resembles like an outtake from that picture, with the actor looking as though he has been stung by a wasp rather than shot dead.<br /><br />Conspiracy movies used to be only made by the left, but now the right are getting in on the act too. Last year, 'Taking Liberties', an absurd concoction of lies and half-truths about Tony Blair's Government turned out to be Britain's answer to 'Reefer Madness'. At least, 'Domino' had lovely Candice Bergen. The best Chris Atkins' film could offer was Anne Widdecombe!<br /><br />Surprisingly, 'The Domino Principle' was made by Sir Lew Grade, the legendary British television mogul behind 'The Saint', 'Jesus Of Nazareth' and 'The Muppet Show'. He worked with Adam Kennedy again in 1980 on 'Raise The Titanic!', whose failure was so great it sank Grade's ambitions of being the new Louis B.Meyer. Being somewhat open-minded, I would not rule out the possibility of a conspiracy.",1,0,0.27359015010621995
