text,actual,predicted,probability
there was a great film to be made about steve biko  sadly this wasn t it  denzel washington   not_the most flexible of actors   is totally unable to convey the great charisma that biko had  attenborough s big crowd scenes are laughable  the soweto massacre wasn t like this  three neat lines of children   some doing cartwheels   marching happily into the guns of the soldiers  with biko dead the film rapidly descends into farce  if the struggle against apartheid was anything it was a black people s struggle yet somehow we are all supposed to be gripped by the escape of a white man and his family  i m sure donald woods was a decent man and he would be the first to say that biko was important while he wasn t  penelope wilton s accent is pure hampshire and she seems completely unaware that she is in south africa at all  at all  the wood s family dog gets more lines than the black maid  as the family make their escape one the women i saw the film with   incidentally one of only about a dozen black people in a large  full cinema   whispered  this is like the sound of music   she had a point overall this is a film by a well intentioned if somewhat inept white liberal about a radical black people s struggle  and really south africa needs well intentioned white liberals like it needs a hole in the head,0,1,0.4397711760822784
just cause is one of those films that at first makes you wonder quite why it was so heavily slated when it came out   nothing special but competent enough and with an excellent supporting performance from ed harris  then you hit the last third and everything starts to get increasingly silly until you ve got a killer with a flashlight strapped to his forehead threatening to fillet sean connery s wife  a typically mannered and unconvincing kate capshaw  and kid  a very young scarlet johannsen  in an alligator skinner s shack  the kind of movie that s probably best seen on a plane  and even then only once,0,1,0.6166604568130529
we know that firefighters and rescue workers are heroes  an idée reçue few would challenge  friends and family of these and others who perished in the attacks on the world trade center might well be moved by this vapid play turned film  a sweet  earnest  though tongue tied fireman recalls what he can of lost colleagues to a benumbed journalist who converts his fragments into a eulogy  they ponder the results  he mumbles some more  she composes another eulogy  etc   etc the dreadful events that provoked the need for several thousand eulogies is overwhelmingly sad  but this plodding insipid dramatization is distressingly boring,0,1,0.4574937082641618
spoilers well  the one line summary says it all  melville s  le samurai  is the original and there are elements of  leon   and they are better   much better in the  samurai  alain delon is a lonely warrior   professional killer who keeps a bird in cage and is stealing cars for his jobs  with so much suspense in these scenes    even the end is exactly the same  the samurai seeks death in dignity and is getting shot with an empty gun in his hand  the world has changed he realizes and there is not_place for the samurai in it delon is not_killing so many people like the ghost dog  but i guess jarmusch liked  leon  very much or even  desperado  by rodriguez  so he added this  too  and let me guess  the girl will become a professional like ghost dog  like natalie portman in  leon   so what was jarmusch thinking after all  where is the unique  the original thought in this movie i can t see the point in making carbon  celluloid  copies a 4 10 rating by macaulay connor,0,1,0.44499846802307214
i recently viewed this atrocity in my film program  and i thought it was awful  as i said in my tagline  it was pretentious  trite  petty and phenomenally self important i consider myself a fan of film  and all the things that film has to offer  if i want to watch a documentary on the cannes festival  i will watch a e    and they would probably be alot more objective about it i dont recommend it  period,0,1,0.40770108092643076
because it is  that s why  this is the same jealous daughter kills people flick we ve seen a billion times  rosanna arquette makes anything worth watching  and mandy schaffer s brief nude scene  after teasing via scantily clad attire throughout the film  at the end almost make this trite blarney worthwhile  but not_quite   out of,0,1,0.4294813146045838
make up your own mind  personally i found it as much fun as receiving a spinal tap from stevie wonder  not_offense mr  wonder  maybe it is comedy  but i just found it stupid  not_the first two choices to babysit your kids  wheeler seann william scott and danny paul rudd  two energy drink salesmen  to avert jail time are court ordered to mentor two kids from a development center run by gayle sweeny jane lynch   one of the misfits is ronnie bobb e j  thompson   a foul mouthed fifth grader and the other is augie christopher mintz plasse   a bashful young man that roll plays in a fantasy medieval world  wheeler and danny desperately try to give their charges an invaluable inside view of life  love and heavy metal  lynch is hilarious with her dry wit analogies  supporting are  elizabeth banks  ken jeongg  kerri kenney silver  amanda righetti and david wain,0,1,0.7225423846530952
it s hard to believe  after waiting 14 years  we wind up with this piece of cinematic garbage  the original was a high impact  dark thriller that achieved  cult  status demonstrating the fine art of cinema as directed by paul verhoeven  this film adds nothing  delivers nothing  and ultimately winds up in the big box of failed sequels the opening sequence could have triggered an intriguing set of plot developments using a considerably talented and able cast  unfortunately we are treated to a 90 minute dissertation in the self indulgent life of catherine tramell    or is it sharon stone  possibly a copulation of both if the desire is too see a continuation of the sensually provocative stying of sex as in  b s 1   forget it  you wind up with soft porn boredom which ultimately upholds the old adage that a woman can be more alluring in clothes than out of them  it s interesting to note that the wonderful charlotte rampling was romping around in her skivvies  via the 1966 georgy girl  when ms  stone was only 8 years old  a very talented actress and quite adept at holding her own even here if you re a true cinema fan then you must see this film and judge it using your own rating system  if not_you might as well wait for the dvd release in the  rated  version   unrated  version   collectors  edition  or  ultimate  version  and perhaps in another 14 years we will be saturated with news of  basic instinct 3  at which point ms  stone will be 62 years old and nobody will really care,0,1,0.5726013473263736
wow it s ironic since this movie has been out for awhile i think that someone else just reviewed it a couple days ago anyways  i watched this movie simply because it has nick stahl  for the record the movie was ridiculous  the characters drove me insane  they were so cliché and stereotyped  this movie had some of the worst dialogue i have ever heard  it had way too many plot twists too there is one scene in the movie worth seeing however  the scene   warm heart  cold gun  where nick stahl kills the obnoxious girl in the shower   well  actually they were all obnoxious   but his acting in that scene was excellent  the look on his face  it reminded my of american psycho  a good movie   the scene is worth seeing but not_worth seeing the rest of the movie for  do yourself a favor and don t watch it,0,1,0.3768990542800495
it s pretty clear that the director and production crew set out to paint a less than flattering picture of the palestinian girl and her family  the film and it s website tries to imply that ayat has a secret reason for blowing herself and rachel up  a boyfriend problem  perhaps pregnancy  neatly glossed over is the fact that ayat had herself just witnessed the death of a close friend at the hands of the israelis  just outside her home  gosh so why on earth would a young  pretty  intelligent girl with plans for college go and do such a thing  could it be that the hormonal  emotional teenager was traumatized by seeing seeing someone she loved die before her very eyes  this detail merits all of 5 seconds in the movie  another neatly sidestepped detail is that avigail levy  rachels  mother  could have prevented the destruction of the building the akhras family lived in along with 22 other families   one distinctly gets the impression that she s offering this as a  concession    should mrs  akhras agree to speak with her  why should i   she says  since the movie was made the home has been destroyed  apparently the interview didn t result in what she wanted  so bring on the bulldozers mrs levy claimed that she  wanted the movie to be cathartic as well as a symbol of hope  a chance to transcend entrenched hatreds   instead she uses it as an excuse to harangue ayats mother  while dangling the house as a carrot moreover although the two women live only 4 miles apart  she is so out of touch with the realities of the occupation for her palestinian neighbors  that she really thinks that mrs  akhras can just drop over for a cup of coffee please and she forgoes the one chance she had to meet mrs  akhras in person and see what kind of life she lives  the akras family originally came from jaffa  but now live crammed into a refugee camp only 4 miles from where the levys live in comparative luxury any sympathy i would have had for the obviously well to do mrs  levy is dissolved by her air of self righteous bitchiness by contrast  ayats mother comes off as kind forthright and loving  in spite of the best efforts by the post production crew to paint her and her family as monsters  heck even the music and sound design was one sided  i guess the muezzin sings all day every day 4 miles from the levy family home  always in a sharply contrasting key from the sappy new age music that scores this drab excuse for a documentary also there is the small matter of translations   mrs  levy directly addresses the camera in english when she has something worked out to say ahead of time  hebrew when she doesn t  mrs akhras spoke only arabic which received sometimes a translation  sometimes transliteration  always awkward  and very suspect for a supposedly objective movie they also  sweated  her under the lights  while mrs  levy sat in  air conditioned  comfort rotten editing for mrs  akhras  segments too  i gave it a 2 because i liked ayats mother and father  who seemed like good decent people  shame on hbo  producers and director  for releasing such a stink bomb,0,1,0.4088984251391498
the movie was completely misleading and the bonus material confirmed my impression that it was a rip off of joeseph conrad s heart of darkness  the river is replaced by a road and the boat becomes a jeep and walter kurtz is osama the claims made on the outside of the dvd box was overt fraud totake this fabricated death of a journalist and present it as factualwhile some portions have muslims supporting the 9 11 attacks for the usa s treatment of muslims around the world  i alerted the video store that the movie should be removed from their  documentary  section and be placed in the war drama area for quasi fictional accounts of actual events,0,1,0.5601320692078893
as with the other episodes in this made for tv series expanding on the many adventures of the sea legend  horatio hornblower s super human infallibility ruins all chance for suspense as little wesley crusher ruined many seasons of the next generation  horatio hornblower invincibly saves every situation  each and every clever solution inevitably comes only from the lips of horatio hornblower  immeasurably superior  hornblower s main trouble in this movie series seems to be tolerating the many error ridden characters above and below him in the chain of command  a perfect being makes for dull story telling  so superior is our hero  that even those who attempt to help him are powerless to do something correctly unless hornblower is there to direct and control their every move what is the sense in telling a story about any person who cannot do wrong and will repeatedly win at everything every single time  what is the point of watching such a story,0,1,0.4846642943071889
contrary to another reviewer  i think that this is well written  especially the more fictional it is  because greater imagination would be required  and well acted  because there were not_other characters with whom to share the focus of these dozen minutes plus  well done monologues  but i m just not_entertained by such solemn  pious rememberances  everybody has a story to tell and some are more interesting than others  everybody has problems and some are more intense than others  these are just ten  not_very atypical stories and problems  exemplifying how anybody s life  or part of it  is fodder for film  then again  i think poorly of tv s reality shows  too  so  if that s your bag  you may like this  it s the kind of stuff that would make for good  phone and or internet gossip  but absolutely without other than verbal action  and  although each of the speakers is female  i m gonna leave gender outta this,0,1,0.5060255299696408
i love the music of the clash and i love the music of joe strummer and the mescaleros  i went to this movie hoping to learn about the man behind most of that  but i came out of the theatre not_knowing much more about joe than i already did after reading the entry on wikipedia  the movie not_gets through to the person  his thoughts and feelings  what they did was to collect the little material that they had  shaky blurry videos and to interview some people about joe strummer at a camp fire  it turns out that most of these people knew him very little or not_at all  and that the director just wanted them in the movie in order to have some more celebrities say   oh  he was such an inspiration to all of us   like bono or johnny depp  whom they seemingly asked to keep his pirate costume on to benefit from his current success in pirates of the caribbean   it seems that the director could not_even wait until the body was cold before he jumped in to sell his version of  the greatest punk rocker and hippie at heart  that ever lived  sanctifying the person without really knowing enough about him sure  being a fan i enjoyed seeing the images of the band  hearing the anecdotes behind the songs and such  but in the end i felt like what remained as the portrait of joe strummer could have easily been told in 60 90 minutes go see the movie if you are a fan  otherwise better listen to some music of the clash or even better the undeservedly unknown mescaleros  where joe strummer reached the peak of his musical development before his death  melting all his rich influences together to one amazing sound,0,1,0.5181386150214333
